FriendlyName (required),CanBeObject (bool),QualifiedRuntimeTypeName,QualifiedSaveTypeName,Extension,AddToManagersMethod,AddManuallyUpdatedMethod,RemoveFromLayerMethod,LayeredAddToManagersMethod,MakeManuallyUpdatedMethod,ActivityMethod,CustomLoadMethod,Conversion (List<FlatRedBall.Glue.CodeGeneration.ConversionCodeGenInfo>),AfterCustomActivityMethod,DestroyMethod,RecycledDestroyMethod,SupportsMakeOneWay,ShouldBeDisposed,ExtraVariablesPattern,VariableDefinitions (List<FlatRedBall.Glue.Elements.VariableDefinition>),ShouldAttach,IsPositionedObject,AdjustRelativeZ,AttachToNullOnlyMethod,FindByNameSyntax,MustBeAddedToContentPipeline,CanBeCloned,CustomCloneMethod,HasCursorIsOn,HasVisibleProperty,PostInitializeCode,ContentImporter,ContentProcessor,CanIgnorePausing,DefaultPublic,SetFromOtherCode
,,,,,,,,,,,,,,,,,,,"Name=MaxWidth, Category = Text, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=MaxWidthBehavior, Category = Text, DefaultValue=Chop, Type=MaxWidthBehavior",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=X, Type=float, Category=Position, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Y, Type=float, Category=Position, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Z, Type=float, Category=Position, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=TextureScale, Category=Size, DefaultValue=1, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Visible, Category=Appearance, DefaultValue=true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ColorOperation, Category=Appearance, DefaultValue=ColorTextureAlpha, Type=ColorOperation",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Red, Category=Appearance, DefaultValue=1, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Green, Category=Appearance, DefaultValue=1, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Blue, Category=Appearance, DefaultValue=1, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=BlendOperation, Category=Appearance, DefaultValue=Regular, Type=BlendOperation",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Alpha, Category=Appearance, DefaultValue=1, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationX, Category=Rotation, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationY, Category=Rotation, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationZ, Category=Rotation, DefaultValue=0, Type=float",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=AdjustPositionForPixelPerfectDrawing, Category=Position, DefaultValue=true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=MaxCharacters, Category=Text, Type=int",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoreParentPosition, Category=Attachment, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoresParentVisibility, Category=Attachment, DefaultValue=false, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesPosition, Category=Attachment, DefaultValue = true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesRotation, Category=Attachment, DefaultValue = true, Type=bool",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spline,TRUE,QualifiedType = FlatRedBall.Math.Splines.Spline,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,"FindByName(""OBJECTNAME"")",FALSE,FALSE,,FALSE,FALSE,this.CalculateVelocities();  this.CalculateAccelerations();,,,FALSE,,
AnimationChain,TRUE,QualifiedType = FlatRedBall.Graphics.Animation.AnimationChain,FlatRedBall.Content.AnimationChain.AnimationChainSave,,,,,,,,,,,,,FALSE,,,,FALSE,,,,"[""OBJECTNAME""]",FALSE,FALSE,,FALSE,FALSE,,,,FALSE,,
//PositionedModel,,QualifiedType = FlatRedBall.Graphics.Model.PositionedModel,,,ModelManager.AddModel(this),,mLayer.Remove(this),,ModelManager.ConvertToManuallyUpdated(this),,,,,ModelManager.RemoveModel(this),,FALSE,,,,TRUE,,this.RelativeZ += value,,"FindByName(""OBJECTNAME"")",TRUE,TRUE,,TRUE,TRUE,,,,TRUE,,
Camera,TRUE,QualifiedType = FlatRedBall.Camera,,,,,,,,,,,,,,FALSE,,,"Name=X, Type=float, Category=Position, DefaultValue=0",TRUE,TRUE,this.RelativeZ += value,,,FALSE,,,FALSE,FALSE,,,,TRUE,,
,,,,,,,,,,,,,,,,,,,"Name=Y, Type=float, Category=Position, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Z, Type=float, Category=Position, DefaultValue=40",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=MinimumX, Type=float, Category=Position",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=MaximumX, Type=float, Category=Position",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=MinimumY, Type=float, Category=Position",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=MaximumY, Type=float, Category=Position",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationX, Category=Rotation, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationY, Category=Rotation, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RotationZ, Category=Rotation, DefaultValue=0",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=Orthogonal, Category=2D/3D, DefaultValue=true",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=OrthogonalWidth, Category=2D/3D",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=OrthogonalHeight, Category=2D/3D",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=FieldOfView, Category=2D/3D",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=NearClipPlane, Category=2D/3D",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=FarClipPlane, Category=2D/3D",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=CameraCullMode, Category=2D/3D, DefaultValue=UnrotatedDownZ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ClearsDepthBuffer, Category=2D/3D, DefaultValue=true",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=TopDestination, Category=""Screen Position""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=BottomDestination, Category=""Screen Position""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=LeftDestination, Category=""Screen Position""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=RightDestination, Category=""Screen Position""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=DrawsCameraLayer, Category=Rendering, DefaultValue=true",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=BackgroundColor, Category=Rendering, DefaultValue=Black",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=DrawsShapes, Category=Rendering, DefaultValue=true",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=DrawsToScreen, Category=Rendering, DefaultValue=true",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=DrawsWorld, Category=Rendering, DefaultValue=true",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ShouldRestrictViewportToResolution, Category=Rendering, DefaultValue=true",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=IgnoreParentPosition, Category=Attachment, DefaultValue=false",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesPosition, Category=Attachment, DefaultValue = true",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Name=ParentRotationChangesRotation, Category=Attachment, DefaultValue = true",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effect (.fx),,QualifiedType = Microsoft.Xna.Framework.Graphics.Effect,,fx,,,,,,,,,,,,FALSE,,,,FALSE,,,,,TRUE,FALSE,,FALSE,FALSE,,EffectImporter,EffectProcessor,FALSE,,
Video (.wmv),,QualifiedType = Microsoft.Xna.Framework.Media.Video,,wmv,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,WmvImporter,VideoProcessor,FALSE,,
XactProject (.xap),,,,xap,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,FALSE,,FALSE,FALSE,,XactImporter,XactProcessor,FALSE,,
SoundEffectInstance (.wav),TRUE,QualifiedType = Microsoft.Xna.Framework.Audio.SoundEffectInstance,,wav,,,,,,,"{THIS} = FlatRedBall.FlatRedBallServices.Load<Microsoft.Xna.Framework.Audio.SoundEffect>(@""{FILE_NAME}"", {CONTENT_MANAGER_NAME}).CreateInstance();",,,if(this.IsDisposed == false) { this.Stop();  this.Dispose(); },,FALSE,,,,,,,,,TRUE,FALSE,,FALSE,FALSE,,,,FALSE,,
